OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Shape__Area,Shape__Length,Death
1,01,Schleswig-Holstein,Land,2889821,15,308,2020-03-19T00:00:00.000Z,01,fc5ba936-c95c-432c-8a33-9eb2f30b660f,10.6580995847148,45737314116.8701,2881496.1295035,1
2,02,Hamburg,Freie und Hansestadt,1830584,6,587,2020-03-19T00:00:00.000Z,02,0f3e860c-5181-4d3f-a421-1d51f50315ea,32.0662695620633,2089396054.82129,418800.187474072,0
3,03,Niedersachsen,Land,7962775,9,1023,2020-03-19T00:00:00.000Z,03,3fd77024-c29b-4843-9be8-682ad48e60c9,12.8472799997488,129983613598.973,4008988.2951652,0
4,04,Bremen,Freie Hansestadt,681032,5,142,2020-03-19T00:00:00.000Z,04,4132268b-54de-4327-ac1e-760e915112f1,20.8507089241034,1119156745.43408,335717.737774516,0
5,05,Nordrhein-Westfalen,Land,17912134,10,3542,2020-03-19T00:00:00.000Z,05,561d658f-3ee5-46e3-bc95-3528c6558ab9,19.7743049488129,87829361998.0295,2648672.50917441,6
6,06,Hessen,Land,6243262,7,1080,2020-03-19T00:00:00.000Z,06,93277ac4-e8fc-48c7-8940-028dc2ed66af,17.2986493278674,52359125900.6655,2148243.6201819,2
7,07,Rheinland-Pfalz,Land,4073679,11,938,2020-03-19T00:00:00.000Z,07,e9b4296f-9be2-4e53-9a58-ccf1396cb03d,23.0258692449749,47838767393.1633,1774430.12830596,1
8,08,Baden-Württemberg,Land,11023425,1,3668,2020-03-19T00:00:00.000Z,08,80394ddf-c6a4-4a6e-be8e-0259a81b22a9,33.2745947833818,81517323536.8628,2544320.39805124,16
9,09,Bayern,Freistaat,12997204,2,2960,2020-03-19T00:00:00.000Z,09,1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a,22.774128958813,163485540875.077,3898617.90542911,19
10,10,Saarland,Land,994187,12,187,2020-03-19T00:00:00.000Z,10,e3396a6f-8a30-4fdf-8df7-def77dd38bea,18.8093386857804,6060691818.01318,562678.876124348,0
11,11,Berlin,Land,3613495,3,866,2020-03-19T00:00:00.000Z,11,c7033073-2bb0-486b-97af-5b3c639e7219,23.9657174010203,2402458320.59863,363979.182407356,1
12,12,Brandenburg,Land,2504040,4,254,2020-03-19T00:00:00.000Z,12,b560af89-5895-4be4-96f8-0f581cd8a858,10.1436079295858,79801970800.2686,2571385.42188057,0
13,13,Mecklenburg-Vorpommern,Land,1611119,8,165,2020-03-19T00:00:00.000Z,13,a27f5628-e790-45be-898d-f0a6841c0f7e,10.2413291631469,65873523064.0757,4131181.10875485,0
14,14,Sachsen,Freistaat,4081308,13,567,2020-03-19T00:00:00.000Z,14,256d2405-a7c8-4fec-93df-29f3c808cd25,13.8926050178031,46626497892.9951,2048279.98573376,0
15,15,Sachsen-Anhalt,Land,2223081,14,188,2020-03-19T00:00:00.000Z,15,66106bbe-f04b-4f92-80e1-5b5b30da25b5,8.45673189595881,54177007537.6553,1920386.52842308,1
16,16,Thüringen,Freistaat,2151205,16,187,2020-03-19T00:00:00.000Z,16,3a3e2817-bb19-4f8c-8bca-d8ff591140d4,8.69280240609333,40685205073.9761,2015719.49965031,0
